iter	Passed	Remaining
779	6767	1908
780	6777	1900
781	6788	1892
782	6799	1884
783	6809	1876
784	6819	1867
785	6830	1859
786	6842	1851
787	6852	1843
788	6863	1835
789	6874	1827
790	6885	1819
791	6896	1811
792	6907	1803
793	6920	1795
794	6933	1788
795	6945	1780
796	6959	1772
797	6970	1764
798	6982	1756
799	6994	1748
800	7008	1741
801	7018	1732
802	7028	1724
803	7038	1715
804	7048	1707
805	7059	1699
806	7070	1690
807	7079	1682
808	7089	1673
809	7099	1665
810	7109	1656
811	7120	1648
812	7129	1639
813	7140	1631
814	7152	1623
815	7163	1615
816	7175	1607
817	7185	1598
818	7196	1590
819	7207	1582
820	7217	1573
821	7227	1565
822	7237	1556
823	7247	1547
824	7257	1539
825	7267	1530
826	7276	1522
827	7286	1513
828	7296	1504
829	7306	1496
830	7316	1487
831	7326	1479
832	7336	1470
833	7347	1462
834	7357	1453
835	7370	1445
836	7380	1437
837	7389	1428
838	7398	1419
839	7408	1411
840	7418	1402
841	7428	1393
842	7437	1385
843	7447	1376
844	7456	1367
845	7467	1359
846	7477	1350
847	7486	1341
848	7495	1333
849	7504	1324
850	7515	1315
851	7525	1307
852	7535	1298
853	7546	1290
854	7556	1281
855	7567	1273
856	7578	1264
857	7588	1255
858	7597	1247
859	7607	1238
860	7617	1229
861	7628	1221
862	7638	1212
863	7648	1203
864	7659	1195
865	7669	1186
866	7678	1177
867	7689	1169
868	7698	1160
869	7709	1152
870	7719	1143
871	7730	1134
872	7743	1126
873	7753	1117
874	7763	1109
875	7774	1100
876	7784	1091
877	7794	1083
878	7804	1074
879	7814	1065
880	7824	1056
881	7834	1048
882	7844	1039
883	7854	1030
884	7864	1021
885	7874	1013
886	7883	1004
887	7894	995
888	7904	986
889	7914	978
890	7925	969
891	7937	961
892	7948	952
893	7959	943
894	7970	935
895	7981	926
896	7994	918
897	8008	909
898	8021	901
899	8035	892
900	8047	884
901	8059	875
902	8073	867
903	8088	859
904	8102	850
905	8115	841
906	8127	833
907	8141	824
908	8154	816
909	8168	807
910	8180	799
911	8191	790
912	8202	781
913	8213	772
914	8224	764
915	8235	755
916	8247	746
917	8257	737
918	8269	728
919	8280	720
920	8292	711
921	8304	702
922	8316	693
923	8327	684
924	8338	676
925	8357	667
926	8369	659
927	8381	650
928	8394	641
929	8407	632
930	8420	624
931	8434	615
932	8447	606
933	8461	597
934	8474	589
935	8488	580
